video_name,source_video,platform,license,link,link_type,drive_link,note
angry_061.mp4,IMG_8134.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1KCLr0Euk5IMpnOmYannBTbOG8zgPuPcj/view,kopia_drive,https://drive.google.com/file/d/1KCLr0Euk5IMpnOmYannBTbOG8zgPuPcj/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_062.mp4,IMG_8135.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1pRKgkq0ox7JpZhl2KZKHzEkPrJLaFx5D/view,kopia_drive,https://drive.google.com/file/d/1pRKgkq0ox7JpZhl2KZKHzEkPrJLaFx5D/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_063.mp4,IMG_8136.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1BZTeKW9axDm1BUZWHAlSqF7W3KKwFYJ4/view,kopia_drive,https://drive.google.com/file/d/1BZTeKW9axDm1BUZWHAlSqF7W3KKwFYJ4/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_064.mp4,IMG_8137.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/161d2xKaFi6qP36pYsQJH-Rp7IdRu_eG_/view,kopia_drive,https://drive.google.com/file/d/161d2xKaFi6qP36pYsQJH-Rp7IdRu_eG_/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_065.mp4,IMG_8139.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1udkaals5pndF3z62sI6-8ysy_7h2DGB2/view,kopia_drive,https://drive.google.com/file/d/1udkaals5pndF3z62sI6-8ysy_7h2DGB2/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_066.mp4,IMG_8140.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/11ckv0T0qKVNhK4-PMsOfOXMhlc0N2IuI/view,kopia_drive,https://drive.google.com/file/d/11ckv0T0qKVNhK4-PMsOfOXMhlc0N2IuI/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_067.mp4,IMG_8141.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1l8R7XE75snMJVnpNKPbc6KBVV1RMdjMr/view,kopia_drive,https://drive.google.com/file/d/1l8R7XE75snMJVnpNKPbc6KBVV1RMdjMr/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_068.mp4,IMG_8142.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/14mehLhjGb9HvjdXgkV9RE27CnC4ljl9H/view,kopia_drive,https://drive.google.com/file/d/14mehLhjGb9HvjdXgkV9RE27CnC4ljl9H/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_069.mp4,IMG_8143.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1YxLOES4cLM2UwJrUAzvoADibBN5vvca0/view,kopia_drive,https://drive.google.com/file/d/1YxLOES4cLM2UwJrUAzvoADibBN5vvca0/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_070.mp4,IMG_8144.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1GQ4Vbs9wLWnJx6BtsaDhvX3DVB877Cl5/view,kopia_drive,https://drive.google.com/file/d/1GQ4Vbs9wLWnJx6BtsaDhvX3DVB877Cl5/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_071.mp4,IMG_8187.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1nSRYYwklvR-9nyw6dbZ6C6goVKhmH8pZ/view,kopia_drive,https://drive.google.com/file/d/1nSRYYwklvR-9nyw6dbZ6C6goVKhmH8pZ/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_072.mp4,IMG_8188.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1TQLXzpp285gP_icIyN0hBJlCfVbqrv6S/view,kopia_drive,https://drive.google.com/file/d/1TQLXzpp285gP_icIyN0hBJlCfVbqrv6S/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_073.mp4,IMG_8189.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1XBirQJzAcdboNdJ5XwwabS5PeDfKJYIv/view,kopia_drive,https://drive.google.com/file/d/1XBirQJzAcdboNdJ5XwwabS5PeDfKJYIv/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_074.mp4,IMG_8190.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1IQIQDqY24NsKO_zgvQrOxGA9ATNTIjjG/view,kopia_drive,https://drive.google.com/file/d/1IQIQDqY24NsKO_zgvQrOxGA9ATNTIjjG/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_075.mp4,IMG_8191.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/14ntuGXSz6BHU6n6kdE3y0O2QavzwOdP_/view,kopia_drive,https://drive.google.com/file/d/14ntuGXSz6BHU6n6kdE3y0O2QavzwOdP_/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_076.mp4,IMG_8192.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1jZ9dZh9q4ISBoK8MRwfPJ6bSzMVP9IqD/view,kopia_drive,https://drive.google.com/file/d/1jZ9dZh9q4ISBoK8MRwfPJ6bSzMVP9IqD/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_077.mp4,IMG_8193.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1Dh1ODdXYtBSqJSmNIW6ZVNAFEnwa0Vi_/view,kopia_drive,https://drive.google.com/file/d/1Dh1ODdXYtBSqJSmNIW6ZVNAFEnwa0Vi_/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_078.mp4,IMG_8194.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1gKd5r72JWy61uYBPkb6savLBL0VoXym5/view,kopia_drive,https://drive.google.com/file/d/1gKd5r72JWy61uYBPkb6savLBL0VoXym5/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_079.mp4,IMG_8195.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/159poHAauvVCDKhKByQDSDcIRug7wIMHv/view,kopia_drive,https://drive.google.com/file/d/159poHAauvVCDKhKByQDSDcIRug7wIMHv/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_080.mp4,IMG_8196.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1Gj9V3X-7XgDwObhzwfF-tBHigtbjds-n/view,kopia_drive,https://drive.google.com/file/d/1Gj9V3X-7XgDwObhzwfF-tBHigtbjds-n/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_081.mp4,IMG_8197.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1avZTmj9Y6xXkI2gMmqxvk1OyoOOZszfS/view,kopia_drive,https://drive.google.com/file/d/1avZTmj9Y6xXkI2gMmqxvk1OyoOOZszfS/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_082.mp4,IMG_8198.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1mFAH94EmjRBngiZEUR83Tl2SIgkLSRzu/view,kopia_drive,https://drive.google.com/file/d/1mFAH94EmjRBngiZEUR83Tl2SIgkLSRzu/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_083.mp4,IMG_8199.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1SFOi6mNMFGWfOMWAQF2cDzZEsGSAY_x9/view,kopia_drive,https://drive.google.com/file/d/1SFOi6mNMFGWfOMWAQF2cDzZEsGSAY_x9/view,nagranie z telefonu (IMG/VID) - brak zrodla online
